nivå,regionnummer,regionnavn,fylkesnummer,fylkesnavn,gyldig_fra,gyldig_til,er_gjeldende
fylke,01,Smaalenenes amt,01,Smaalenenes amt,1842-01-01,1919-01-01,false
fylke,01,Østfold,01,Østfold,1919-01-01,2020-01-01,false
fylke,02,Akershus amt,02,Akershus amt,1842-01-01,1919-01-01,false
fylke,02,Akershus,02,Akershus,1919-01-01,2020-01-01,false
fylke,03,Christiania amt,03,Christiania amt,1842-01-01,1919-01-01,false
fylke,03,Oslo,03,Oslo,1919-01-01,,true
fylke,04,Hedemarkens amt,04,Hedemarkens amt,1842-01-01,1919-01-01,false
fylke,04,Hedmark,04,Hedmark,1919-01-01,2020-01-01,false
fylke,05,Kristians amt,05,Kristians amt,1842-01-01,1919-01-01,false
fylke,05,Oppland,05,Oppland,1919-01-01,2020-01-01,false
fylke,06,Buskerud amt,06,Buskerud amt,1842-01-01,1919-01-01,false
fylke,06,Buskerud,06,Buskerud,1919-01-01,2020-01-01,false
fylke,07,Jarlsberg og Larviks amt,07,Jarlsberg og Larviks amt,1842-01-01,1919-01-01,false
fylke,07,Vestfold,07,Vestfold,1919-01-01,2020-01-01,false
fylke,08,Bratsbergs amt,08,Bratsbergs amt,1842-01-01,1919-01-01,false
fylke,08,Telemark,08,Telemark,1919-01-01,2020-01-01,false
fylke,09,Nedenes amt,09,Nedenes amt,1842-01-01,1919-01-01,false
fylke,09,Aust-Agder,09,Aust-Agder,1919-01-01,2020-01-01,false
fylke,10,Lister og Mandals amt,10,Lister og Mandals amt,1842-01-01,1919-01-01,false
fylke,10,Vest-Agder,10,Vest-Agder,1919-01-01,2020-01-01,false
fylke,11,Stavanger amt,11,Stavanger amt,1842-01-01,1919-01-01,false
fylke,11,Rogaland,11,Rogaland,1919-01-01,,true
fylke,12,Søndre Bergenhus amt,12,Søndre Bergenhus amt,1842-01-01,1919-01-01,false
fylke,12,Hordaland,12,Hordaland,1919-01-01,2020-01-01,false
fylke,13,Bergen amt,13,Bergen amt,1842-01-01,1919-01-01,false
fylke,13,Bergen,13,Bergen,1919-01-01,1972-01-01,false
fylke,14,Nordre Bergenhus amt,14,Nordre Bergenhus amt,1842-01-01,1919-01-01,false
fylke,14,Sogn og Fjordane,14,Sogn og Fjordane,1919-01-01,2020-01-01,false
fylke,15,Romsdals amt,15,Romsdals amt,1842-01-01,1919-01-01,false
fylke,15,Møre,15,Møre,1919-01-01,1936-01-01,false
fylke,15,Møre og Romsdal,15,Møre og Romsdal,1936-01-01,,true
fylke,16,Søndre Trondhjems amt,16,Søndre Trondhjems amt,1842-01-01,1919-01-01,false
fylke,16,Sør-Trøndelag,16,Sør-Trøndelag,1919-01-01,2018-01-01,false
fylke,17,Nordre Trondhjems amt,17,Nordre Trondhjems amt,1842-01-01,1919-01-01,false
fylke,17,Nord-Trøndelag,17,Nord-Trøndelag,1919-01-01,2018-01-01,false
fylke,18,Nordlands amt,18,Nordlands amt,1842-01-01,1919-01-01,false
fylke,18,Nordland,18,Nordland,1919-01-01,2020-01-01,false
fylke,18,Nordland ,18,Nordland ,2020-01-01,2022-01-01,false
fylke,18,Nordland,18,Nordland,2022-01-01,,true
fylke,19,Tromsø amt,19,Tromsø amt,1867-01-01,1919-01-01,false
fylke,19,Troms,19,Troms,1919-01-01,2007-01-01,false
fylke,19,Troms,19,Troms,2007-01-01,2020-01-01,false
fylke,20,Finnmarkens amt,20,Finnmarkens amt,1842-01-01,1919-01-01,false
fylke,20,Finnmark,20,Finnmark,1919-01-01,2003-01-01,false
fylke,20,Finnmark,20,Finnmark,2003-01-01,2020-01-01,false
fylke,30,Viken,30,Viken,2020-01-01,2024-01-01,false
fylke,31,Østfold,31,Østfold,2024-01-01,,true
fylke,32,Akershus,32,Akershus,2024-01-01,,true
fylke,33,Buskerud,33,Buskerud,2024-01-01,,true
fylke,34,Innlandet,34,Innlandet,2020-01-01,,true
fylke,38,Vestfold og Telemark,38,Vestfold og Telemark,2020-01-01,2024-01-01,false
fylke,39,Vestfold,39,Vestfold,2024-01-01,,true
fylke,40,Telemark,40,Telemark,2024-01-01,,true
fylke,42,Agder,42,Agder,2020-01-01,,true
fylke,46,Vestland,46,Vestland,2020-01-01,,true
fylke,50,Trøndelag,50,Trøndelag,2018-01-01,2020-01-01,false
fylke,50,Trøndelag,50,Trøndelag,2020-01-01,,true
fylke,54,Troms og Finnmark,54,Troms og Finnmark,2020-01-01,2024-01-01,false
fylke,55,Troms,55,Troms,2024-01-01,,true
fylke,56,Finnmark,56,Finnmark,2024-01-01,,true
kommune,0101,Fredrikshald,01,Østfold,1838-01-01,1928-01-01,false
kommune,0101,Halden,01,Østfold,1928-01-01,2020-01-01,false
kommune,0102,Sarpsborg,01,Østfold,1839-01-01,1992-01-01,false
kommune,0103,Fredrikstad,01,Østfold,1838-01-01,1994-01-01,false
kommune,0104,Moss,01,Østfold,1838-01-01,2020-01-01,false
kommune,0105,Sarpsborg,01,Østfold,1992-01-01,2020-01-01,false
kommune,0106,Fredrikstad,01,Østfold,1994-01-01,2020-01-01,false
kommune,0111,Hvaler,01,Østfold,1838-01-01,2020-01-01,false
kommune,0112,Torsnes,01,Østfold,1910-01-01,1964-01-01,false
kommune,0113,Borge (Østfold),01,Østfold,1838-01-01,1994-01-01,false
kommune,0114,Varteig,01,Østfold,1861-01-01,1992-01-01,false
kommune,0115,Skjeberg,01,Østfold,1838-01-01,1992-01-01,false
kommune,0116,Berg (Østfold),01,Østfold,1838-01-01,1967-01-01,false
kommune,0117,Idd,01,Østfold,1838-01-01,1967-01-01,false
kommune,0118,Aremark,01,Østfold,1838-01-01,2020-01-01,false
kommune,0119,Øymark,01,Østfold,1904-01-01,1964-01-01,false
kommune,0119,Marker,01,Østfold,1964-01-01,2020-01-01,false
kommune,0120,Rødenes,01,Østfold,1838-01-01,1964-01-01,false
kommune,0121,Rømskog,01,Østfold,1902-01-01,2020-01-01,false
kommune,0122,Trøgstad,01,Østfold,1838-01-01,2020-01-01,false
kommune,0123,Spydeberg,01,Østfold,1838-01-01,2020-01-01,false
kommune,0124,Askim,01,Østfold,1838-01-01,2020-01-01,false
kommune,0125,Eidsberg,01,Østfold,1838-01-01,2020-01-01,false
kommune,0126,Mysen,01,Østfold,1921-01-01,1961-01-01,false
kommune,0127,Skiptvet,01,Østfold,1838-01-01,2020-01-01,false
kommune,0128,Rakkestad,01,Østfold,1838-01-01,2020-01-01,false
kommune,0129,Degernes,01,Østfold,1918-01-01,1964-01-01,false
kommune,0130,Tune,01,Østfold,1838-01-01,1992-01-01,false
kommune,0131,Rolvsøy,01,Østfold,1911-01-01,1994-01-01,false
kommune,0132,Glemmen,01,Østfold,1838-01-01,1964-01-01,false
kommune,0133,Kråkerøy,01,Østfold,1908-01-01,1994-01-01,false
kommune,0134,Onsøy,01,Østfold,1838-01-01,1994-01-01,false
kommune,0135,Råde,01,Østfold,1838-01-01,2020-01-01,false
kommune,0136,Rygge,01,Østfold,1838-01-01,2020-01-01,false
kommune,0137,Våler (Østfold),01,Østfold,1838-01-01,2020-01-01,false
kommune,0138,Hobøl,01,Østfold,1838-01-01,2020-01-01,false
kommune,0194,Moss landsogn,01,Smaalenenes amt,1838-01-01,1919-01-01,false
kommune,0194,Jeløy,01,Østfold,1919-01-01,1944-01-01,false
kommune,0201,Soon og Hølen,02,Akershus amt,1838-01-01,1848-01-01,false
kommune,0201,Son,02,Akershus amt,1848-01-01,1964-01-01,false
kommune,0203,Drøbak,02,Akershus amt,1838-01-01,1962-01-01,false
kommune,0204,Hølen,02,Akershus amt,1848-01-01,1944-01-01,false
kommune,0211,Vestby,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0212,Kråkstad,02,Akershus amt,1838-01-01,1964-01-01,false
kommune,0213,Ski,02,Akershus,1932-01-01,2020-01-01,false
kommune,0214,Ås,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0215,Frogn,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0216,Nesodden,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0217,Oppegård,02,Akershus amt,1916-01-01,2020-01-01,false
kommune,0218,Aker,02,Akershus amt,1838-01-01,1948-01-01,false
kommune,0219,Bærum,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0220,Asker,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0221,Høland,02,Akershus amt,1838-01-01,1925-01-01,false
kommune,0221,Søndre Høland,02,Akershus,1925-01-01,1966-01-01,false
kommune,0221,Aurskog-Høland,02,Akershus,1966-01-01,2020-01-01,false
kommune,0222,Nordre Høland,02,Akershus,1925-01-01,1966-01-01,false
kommune,0223,Setskog,02,Akershus amt,1905-01-01,1966-01-01,false
kommune,0224,Aurskog,02,Akershus amt,1838-01-01,1966-01-01,false
kommune,0225,Blaker,02,Akershus,1920-01-01,1962-01-01,false
kommune,0226,Sørum,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0227,Fet,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0228,Rælingen,02,Akershus,1930-01-01,2020-01-01,false
kommune,0229,Enebakk,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0230,Lørenskog,02,Akershus amt,1908-01-01,2020-01-01,false
kommune,0231,Skedsmo,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0232,Lillestrøm,02,Akershus amt,1908-01-01,1962-01-01,false
kommune,0233,Nittedal,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0234,Gjerdrum,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0235,Ullensaker,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0236,Nes (Akershus),02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0237,Eidsvoll,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0238,Nannestad,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0239,Hurdal,02,Akershus amt,1838-01-01,2020-01-01,false
kommune,0240,Feiring,02,Akershus amt,1870-01-01,1964-01-01,false
kommune,0301,Christiania,03,Christiania amt,1838-01-01,1877-01-01,false
kommune,0301,Kristiania,03,Oslo,1877-01-01,1925-01-01,false
kommune,0301,Oslo,03,Oslo,1925-01-01,,true
kommune,0401,Hamar,04,Hedemarkens amt,1850-01-01,1992-01-01,false
kommune,0402,Kongsvinger,04,Hedemarkens amt,1856-01-01,1964-01-01,false
kommune,0402,Kongsvinger,04,Hedmark,1965-01-01,2020-01-01,false
kommune,0403,Hamar,04,Hedmark,1992-01-01,2020-01-01,false
kommune,0411,Nes (Hedmark),04,Hedemarkens amt,1838-01-01,1964-01-01,false
kommune,0412,Ringsaker,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0413,Furnes,04,Hedemarkens amt,1891-01-01,1964-01-01,false
kommune,0414,Vang (Hedmark),04,Hedemarkens amt,1838-01-01,1992-01-01,false
kommune,0415,Løten,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0416,Romedal,04,Hedemarkens amt,1838-01-01,1964-01-01,false
kommune,0417,Stange,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0418,Nord-Odal,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0419,Sør-Odal,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0420,Eidskog,04,Hedemarkens amt,1861-01-01,2020-01-01,false
kommune,0421,Vinger,04,Hedemarkens amt,1838-01-01,1964-01-01,false
kommune,0421,Kongsvinger,04,Hedmark,1964-01-01,1965-01-01,false
kommune,0422,Brandval,04,Hedemarkens amt,1867-01-01,1964-01-01,false
kommune,0423,Grue,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0424,Hof (Hedmark),04,Hedemarkens amt,1838-01-01,1963-01-01,false
kommune,0425,Åsnes og Våler,04,Hedemarkens amt,1849-01-01,1854-01-01,false
kommune,0425,Åsnes,04,Hedemarkens amt,1854-01-01,2020-01-01,false
kommune,0426,Våler (Hedmark),04,Hedemarkens amt,1854-01-01,2020-01-01,false
kommune,0427,Elverum,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0428,Trysil,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0429,Åmot,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0430,Stor-Elvdal,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0431,Sollia,04,Hedemarkens amt,1890-01-01,1965-01-01,false
kommune,0432,Rendal,04,Hedemarkens amt,1838-01-01,1880-01-01,false
kommune,0432,Ytre Rendal,04,Hedemarkens amt,1880-01-01,1965-01-01,false
kommune,0432,Rendalen,04,Hedmark,1965-01-01,2020-01-01,false
kommune,0433,Øvre Rendal,04,Hedemarkens amt,1880-01-01,1965-01-01,false
kommune,0434,Engerdal,04,Hedemarkens amt,1911-01-01,2020-01-01,false
kommune,0435,Os (Hedmark),04,Hedmark,1927-01-01,1966-01-01,false
kommune,0435,Tolga-Os,04,Hedmark,1966-01-01,1976-01-01,false
kommune,0436,Tolga,04,Hedemarkens amt,1838-01-01,1966-01-01,false
kommune,0436,Tolga,04,Hedmark,1976-01-01,2020-01-01,false
kommune,0437,Tynset,04,Hedemarkens amt,1838-01-01,2020-01-01,false
kommune,0438,Lille Elvedalen,04,Hedemarkens amt,1864-01-01,1918-01-01,false
kommune,0438,Alvdal,04,Hedemarkens amt,1918-01-01,2020-01-01,false
kommune,0439,Folldal,04,Hedemarkens amt,1914-01-01,2020-01-01,false
kommune,0440,Kvikne,04,Hedemarkens amt,1838-01-01,1966-01-01,false
kommune,0441,Os (Hedmark),04,Hedmark,1976-01-01,2020-01-01,false
kommune,0501,Lillehammer,05,Oppland,1838-01-01,2020-01-01,false
kommune,0502,Gjøvik,05,Oppland,1861-01-01,2020-01-01,false
kommune,0511,Dovre,05,Oppland,1863-01-01,2020-01-01,false
kommune,0512,Lesja,05,Oppland,1838-01-01,2020-01-01,false
kommune,0513,Skjåk,05,Oppland,1866-01-01,2020-01-01,false
kommune,0514,Lom,05,Oppland,1838-01-01,2020-01-01,false
kommune,0515,Vaage,05,Kristians amt,1838-01-01,1918-01-01,false
kommune,0515,Vågå,05,Oppland,1918-01-01,2020-01-01,false
kommune,0516,Heidal,05,Oppland,1908-01-01,1965-01-01,false
kommune,0516,Nord-Fron,05,Oppland,1977-01-01,2020-01-01,false
kommune,0517,Sel,05,Oppland,1908-01-01,2020-01-01,false
kommune,0518,Fron,05,Kristians amt,1838-01-01,1851-01-01,false
kommune,0518,Nord-Fron,05,Oppland,1851-01-01,1966-01-01,false
kommune,0518,Fron,05,Oppland,1966-01-01,1977-01-01,false
kommune,0519,Sør-Fron,05,Oppland,1851-01-01,1966-01-01,false
kommune,0519,Sør-Fron,05,Oppland,1977-01-01,2020-01-01,false
kommune,0520,Ringebu,05,Oppland,1838-01-01,2020-01-01,false
kommune,0521,Øyer,05,Oppland,1838-01-01,2020-01-01,false
kommune,0522,Gausdal,05,Kristians amt,1838-01-01,1879-01-01,false
kommune,0522,Østre Gausdal,05,Oppland,1879-01-01,1962-01-01,false
kommune,0522,Gausdal,05,Oppland,1962-01-01,2020-01-01,false
kommune,0523,Vestre Gausdal,05,Oppland,1879-01-01,1962-01-01,false
kommune,0524,Fåberg,05,Oppland,1838-01-01,1964-01-01,false
kommune,0525,Biri,05,Oppland,1838-01-01,1964-01-01,false
kommune,0526,Snertingdal,05,Oppland,1910-01-01,1964-01-01,false
kommune,0527,Vardal,05,Oppland,1838-01-01,1964-01-01,false
kommune,0528,Østre Toten,05,Oppland,1838-01-01,2020-01-01,false
kommune,0529,Vestre Toten,05,Oppland,1838-01-01,2020-01-01,false
kommune,0530,Eina,05,Oppland,1908-01-01,1964-01-01,false
kommune,0531,Kolbu,05,Oppland,1908-01-01,1964-01-01,false
kommune,0532,Jevnaker,05,Oppland,1838-01-01,2020-01-01,false
kommune,0533,Lunner,05,Oppland,1898-01-01,2020-01-01,false
kommune,0534,Gran,05,Oppland,1838-01-01,2020-01-01,false
kommune,0535,Brandbu,05,Oppland,1897-01-01,1962-01-01,false
kommune,0536,Land,05,Kristians amt,1838-01-01,1847-01-01,false
kommune,0536,Søndre Land,05,Oppland,1847-01-01,2020-01-01,false
kommune,0537,Fluberg,05,Oppland,1914-01-01,1962-01-01,false
kommune,0538,Nordre Land,05,Oppland,1847-01-01,2020-01-01,false
kommune,0539,Torpa,05,Oppland,1914-01-01,1962-01-01,false
kommune,0540,Sør-Aurdal,05,Oppland,1838-01-01,2020-01-01,false
kommune,0541,Etnedal,05,Oppland,1894-01-01,2020-01-01,false
kommune,0542,Nord-Aurdal,05,Oppland,1838-01-01,2020-01-01,false
kommune,0543,Slidre,05,Kristians amt,1838-01-01,1850-01-01,false
kommune,0543,Vestre Slidre,05,Oppland,1850-01-01,2020-01-01,false
kommune,0544,Øystre Slidre,05,Oppland,1850-01-01,2020-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,1838-01-01,2002-01-01,false
kommune,0545,Vang,05,Oppland,2002-01-01,2003-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,2003-01-01,2005-01-01,false
kommune,0545,Vang,05,Oppland,2005-01-01,2011-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,2011-01-01,2012-01-01,false
kommune,0545,Vang,05,Oppland,2012-01-01,2015-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,2015-01-01,2017-01-01,false
kommune,0545,Vang,05,Oppland,2017-01-01,2020-01-01,false
kommune,0580,Sollia,05,Kristians amt,1864-01-01,1890-01-01,false
kommune,0601,Hønefoss,06,Buskerud,1853-01-01,1964-01-01,false
kommune,0601,Ringerike,06,Buskerud,1964-01-01,1977-01-01,false
kommune,0602,Drammen,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0604,Kongsberg,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0605,Ringerike,06,Buskerud,1977-01-01,2020-01-01,false
kommune,0611,Tyristrand,06,Buskerud,1917-01-01,1964-01-01,false
kommune,0612,Hole,06,Buskerud,1838-01-01,1964-01-01,false
kommune,0612,Hole,06,Buskerud,1977-01-01,2020-01-01,false
kommune,0613,Norderhov,06,Buskerud,1838-01-01,1964-01-01,false
kommune,0614,Ådal,06,Buskerud,1857-01-01,1964-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,1905-01-01,2002-01-01,false
kommune,0615,Flå,06,Buskerud,2002-01-01,2003-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,2003-01-01,2005-01-01,false
kommune,0615,Flå,06,Buskerud,2005-01-01,2011-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,2011-01-01,2012-01-01,false
kommune,0615,Flå,06,Buskerud,2012-01-01,2015-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,2015-01-01,2017-01-01,false
kommune,0615,Flå,06,Buskerud,2017-01-01,2020-01-01,false
kommune,0616,Nes (Buskerud),06,Buskerud,1838-01-01,2020-01-01,false
kommune,0617,Gol,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0618,Hemsedal,06,Buskerud,1897-01-01,2020-01-01,false
kommune,0619,Ål,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,1877-01-01,2002-01-01,false
kommune,0620,Hol,06,Buskerud,2002-01-01,2003-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,2003-01-01,2005-01-01,false
kommune,0620,Hol,06,Buskerud,2005-01-01,2011-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,2011-01-01,2012-01-01,false
kommune,0620,Hol,06,Buskerud,2012-01-01,2015-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,2015-01-01,2017-01-01,false
kommune,0620,Hol,06,Buskerud,2017-01-01,2020-01-01,false
kommune,0621,Sigdal,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0622,Krødsherad,06,Buskerud,1901-01-01,2020-01-01,false
kommune,0623,Modum,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0624,Eiker,06,Buskerud amt,1838-01-01,1886-01-01,false
kommune,0624,Øvre Eiker,06,Buskerud,1886-01-01,2020-01-01,false
kommune,0625,Nedre Eiker,06,Buskerud,1886-01-01,2020-01-01,false
kommune,0626,Lier,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0627,Røyken,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0628,Hurum,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0629,Sandsvær,06,Buskerud amt,1838-01-01,1908-01-01,false
kommune,0629,Ytre Sandsvær,06,Buskerud,1908-01-01,1964-01-01,false
kommune,0630,Øvre Sandsvær,06,Buskerud,1908-01-01,1964-01-01,false
kommune,0631,Flesberg,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0632,Rollag,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0633,Nore,06,Buskerud,1858-01-01,1962-01-01,false
kommune,0633,Nore og Uvdal,06,Buskerud,1962-01-01,2020-01-01,false
kommune,0634,Opdal,06,Buskerud,1901-01-01,1933-01-01,false
kommune,0634,Uvdal,06,Buskerud,1933-01-01,1962-01-01,false
kommune,0681,Strømsgodset,06,Buskerud amt,1838-01-01,1843-01-01,false
kommune,0701,Svelvik,07,Vestfold,1846-01-01,1964-01-01,false
kommune,0701,Borre,07,Vestfold,1988-01-01,2002-01-01,false
kommune,0701, Borre ,07,Vestfold,2002-01-01,2003-01-01,false
kommune,0701,Horten,07,Vestfold,2003-01-01,2020-01-01,false
kommune,0702,Holmestrand,07,Vestfold,1838-01-01,2018-01-01,false
kommune,0703,Horten,07,Vestfold,1858-01-01,1988-01-01,false
kommune,0704,Åsgårdstrand,07,Vestfold,1838-01-01,1965-01-01,false
kommune,0704,Tønsberg,07,Vestfold,1988-01-01,2020-01-01,false
kommune,0705,Tønsberg,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0706,Sandefjord,07,Vestfold,1838-01-01,2017-01-01,false
kommune,0707,Larvik,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0708,Stavern,07,Vestfold,1943-01-01,1988-01-01,false
kommune,0709,Larvik,07,Vestfold,1988-01-01,2018-01-01,false
kommune,0710,Sandefjord,07,Vestfold,2017-01-01,2020-01-01,false
kommune,0711,Svelvik,07,Jarlsberg og Larviks amt,1838-01-01,1846-01-01,false
kommune,0711,Strømmen,07,Vestfold,1846-01-01,1964-01-01,false
kommune,0711,Svelvik,07,Vestfold,1964-01-01,2020-01-01,false
kommune,0712,Skoger,07,Vestfold,1838-01-01,1964-01-01,false
kommune,0712,Larvik,07,Vestfold,2018-01-01,2020-01-01,false
kommune,0713,Sande (Vestfold),07,Vestfold,1838-01-01,2020-01-01,false
kommune,0714,Hof (Vestfold),07,Vestfold,1838-01-01,2002-01-01,false
kommune,0714,Hof,07,Vestfold,2002-01-01,2003-01-01,false
kommune,0714,Hof (Vestfold),07,Vestfold,2003-01-01,2005-01-01,false
